Avg Temperature,Precipitation(in),Wind Speed(mph),Date
51.77,0.33,18,2023-01-01
52.32,0.0,10,2023-01-02
49.17,0.02,9,2023-01-03
53.79,0.41,14,2023-01-04
45.52,0.03,13,2023-01-05
43.55,0.24,16,2023-01-06
41.13,0.01,14,2023-01-07
37.58,0.0,15,2023-01-08
40.08,0.0,16,2023-01-09
40.13,0.0,14,2023-01-10
37.0,0.0,14,2023-01-11
46.6,0.02,21,2023-01-12
48.18,0.37,20,2023-01-13
33.31,0.01,25,2023-01-14
34.0,0.0,28,2023-01-15
37.42,0.0,22,2023-01-16
42.6,0.0,13,2023-01-17
47.67,0.04,30,2023-01-18
41.51,0.0,14,2023-01-19
44.31,1.06,24,2023-01-20
38.83,0.0,21,2023-01-21
38.88,0.0,13,2023-01-22
37.71,0.76,28,2023-01-23
39.88,0.15,23,2023-01-24
41.34,0.0,29,2023-01-25
47.03,1.47,26,2023-01-26
39.71,0.0,16,2023-01-27
45.21,0.0,20,2023-01-28
47.13,0.0,15,2023-01-29
48.5,0.0,14,2023-01-30
36.95,0.02,16,2023-01-31
31.34,0.05,15,2023-02-01
34.83,0.0,17,2023-02-02
23.58,0.0,33,2023-02-03
15.58,0.0,29,2023-02-04
37.92,0.0,14,2023-02-05
42.0,0.0,22,2023-02-06
36.5,0.0,15,2023-02-07
45.88,0.01,20,2023-02-08
46.52,0.0,15,2023-02-09
53.5,0.0,25,2023-02-10
41.13,0.0,24,2023-02-11
42.54,0.0,14,2023-02-12
47.85,0.02,18,2023-02-13
47.58,0.0,22,2023-02-14
54.17,0.0,21,2023-02-15
59.77,0.0,16,2023-02-16
50.08,0.05,28,2023-02-17
35.96,0.18,22,2023-02-18
42.79,0.0,24,2023-02-19
51.96,0.0,20,2023-02-20
41.47,0.18,16,2023-02-21
39.9,0.08,14,2023-02-22
39.49,0.22,16,2023-02-23
39.97,0.0,28,2023-02-24
28.14,0.0,18,2023-02-25
37.71,0.0,15,2023-02-26
