date,total_rides,classic_bikes,electric_bikes,docked_bikes,average_ride_duration,rides_by_members,rides_by_casual,avg_temperature,precipitation_in,wind_speed_mph
2023-01-01,1444,1129,288,27,19.8400277,991,453,51.77,0.33,18
2023-01-02,1714,1410,294,10,14.8226371,1274,440,52.32,0.0,10
2023-01-03,1444,1178,263,3,13.310941816666666,1294,150,49.17,0.02,9
2023-01-04,2109,1732,366,11,13.600284483333333,1808,301,53.79,0.41,14
2023-01-05,2087,1707,366,14,11.183517,1827,260,45.52,0.03,13
2023-01-06,1860,1511,347,2,11.934408600000001,1605,255,43.55,0.24,16
2023-01-07,1691,1347,341,3,15.138971016666666,1395,296,41.13,0.01,14
2023-01-08,1462,1197,260,5,14.0998632,1242,220,37.58,0.0,15
2023-01-09,1701,1363,336,2,11.296296283333334,1524,177,40.08,0.0,16
2023-01-10,1875,1520,352,3,10.618666666666666,1704,171,40.13,0.0,14
2023-01-11,1850,1457,392,1,10.33945945,1676,174,37.0,0.0,14
2023-01-12,1401,1083,318,0,10.758029966666667,1238,163,46.6,0.02,21
2023-01-13,1895,1470,421,4,11.8364116,1674,221,48.18,0.37,20
2023-01-14,1216,977,235,4,12.756578933333333,1032,184,33.31,0.01,25
2023-01-15,1218,978,240,0,11.8095238,1028,190,34.0,0.0,28
2023-01-16,1418,1159,255,4,11.929478133333333,1261,157,37.42,0.0,22
2023-01-17,1864,1504,357,3,11.787553633333333,1695,169,42.6,0.0,13
2023-01-18,2141,1692,448,1,12.574030816666667,1920,221,47.67,0.04,30
2023-01-19,911,725,186,0,12.395170133333332,845,66,41.51,0.0,14
2023-01-20,1971,1560,408,3,13.616438350000001,1741,230,44.31,1.06,24
2023-01-21,1756,1387,364,5,14.498861033333332,1467,289,38.83,0.0,21
2023-01-22,1099,900,198,1,13.65150135,930,169,38.88,0.0,13
2023-01-23,1050,837,213,0,9.138095233333333,985,65,37.71,0.76,28
2023-01-24,1934,1524,410,0,14.16442605,1744,190,39.88,0.15,23
2023-01-25,1186,959,227,0,12.936762216666667,1088,98,41.34,0.0,29
2023-01-26,1841,1465,373,3,11.724606183333332,1667,174,47.03,1.47,26
2023-01-27,1910,1494,405,11,12.226178,1670,240,39.71,0.0,16
2023-01-28,1934,1492,434,8,15.663391933333333,1584,350,45.21,0.0,20
2023-01-29,1627,1298,322,7,15.604179466666666,1345,282,47.13,0.0,15
2023-01-30,1992,1568,421,3,13.455823283333332,1774,218,48.5,0.0,14
2023-01-31,1573,1247,325,1,10.9408773,1431,142,36.95,0.02,16
2023-02-01,1740,1389,350,1,12.981034466666667,1606,134,31.34,0.05,15
2023-02-02,1814,1451,361,2,11.471334066666666,1679,135,34.83,0.0,17
2023-02-03,1071,815,255,1,11.592903816666666,983,88,23.58,0.0,33
2023-02-04,711,578,133,0,13.308016866666666,635,76,15.58,0.0,29
2023-02-05,1435,1142,289,4,11.9881533,1212,223,37.92,0.0,14
2023-02-06,1848,1487,360,1,11.98430735,1673,175,42.0,0.0,22
2023-02-07,1871,1479,389,3,12.369321216666666,1725,146,36.5,0.0,15
2023-02-08,2264,1799,461,4,12.893551233333334,2047,217,45.88,0.01,20
2023-02-09,2166,1688,473,5,11.607109866666667,1935,231,46.52,0.0,15
2023-02-10,2341,1838,499,4,13.653139683333334,2040,301,53.5,0.0,25
2023-02-11,1816,1420,389,7,15.380506599999999,1476,340,41.13,0.0,24
2023-02-12,1616,1334,278,4,13.416460383333334,1354,262,42.54,0.0,14
2023-02-13,1924,1559,358,7,14.425155916666666,1710,214,47.85,0.02,18
2023-02-14,2237,1786,446,5,13.191774683333334,2003,234,47.58,0.0,22
2023-02-15,2472,1958,507,7,15.273462766666666,2180,292,54.17,0.0,21
2023-02-16,2212,1756,453,3,13.69122965,1993,219,59.77,0.0,16
2023-02-17,1404,1090,313,1,10.9159544,1264,140,50.08,0.05,28
2023-02-18,1544,1238,299,7,14.777202066666666,1282,262,35.96,0.18,22
2023-02-19,1435,1143,282,10,13.275958183333334,1152,283,42.79,0.0,24
2023-02-20,2046,1611,424,11,20.6603128,1651,395,51.96,0.0,20
2023-02-21,1571,1255,311,5,11.8446849,1417,154,41.47,0.18,16
2023-02-22,1501,1206,294,1,10.401732166666667,1366,135,39.9,0.08,14
2023-02-23,1836,1442,385,9,12.3567538,1658,178,39.49,0.22,16
2023-02-24,1642,1333,306,3,12.682095,1453,189,39.97,0.0,28
2023-02-25,1216,999,217,0,13.189967099999999,1058,158,28.14,0.0,18
2023-02-26,1598,1303,290,5,12.575093866666666,1349,249,37.71,0.0,15
2023-02-27,1687,1404,281,2,11.498518066666666,1538,149,36.67,0.0,21
2023-02-28,1189,974,214,1,9.846089150000001,1098,91,35.21,0.54,26
2023-03-01,1985,1595,387,3,10.9138539,1815,170,40.0,0.05,14
2023-03-02,2129,1676,452,1,13.666510083333332,1915,214,44.14,0.01,22
